State,race,rate
Alabama,Black,1132
Alabama,Latino,NA
Alabama,White,421
Alaska,Black,1987
Alaska,Latino,238
Alaska,White,417
Arizona,Black,2105
Arizona,Latino,742
Arizona,White,428
Arkansas,Black,1597
Arkansas,Latino,252
Arkansas,White,450
California,Black,1623
California,Latino,353
California,White,175
Colorado,Black,1603
Colorado,Latino,518
Colorado,White,236
Connecticut,Black,1512
Connecticut,Latino,579
Connecticut,White,156
Delaware,Black,1654
Delaware,Latino,355
Delaware,White,324
Florida,Black,1411
Florida,Latino,227
Florida,White,340
Georgia,Black,1006
Georgia,Latino,216
Georgia,White,361
Hawaii,Black,947
Hawaii,Latino,84
Hawaii,White,410
Idaho,Black,2387
Idaho,Latino,673
Idaho,White,502
Illinois,Black,1166
Illinois,Latino,223
Illinois,White,156
Indiana,Black,1443
Indiana,Latino,243
Indiana,White,320
Iowa,Black,2084
Iowa,Latino,327
Iowa,White,225
Kansas,Black,1661
Kansas,Latino,362
Kansas,White,265
Kentucky,Black,1370
Kentucky,Latino,188
Kentucky,White,466
Louisiana,Black,1411
Louisiana,Latino,28
Louisiana,White,381
Maine,Black,1331
Maine,Latino,NA
Maine,White,143
Maryland,Black,746
Maryland,Latino,123
Maryland,White,141
Massachusetts,Black,466
Massachusetts,Latino,260
Massachusetts,White,63
Michigan,Black,1479
Michigan,Latino,NA
Michigan,White,230
Minnesota,Black,1023
Minnesota,Latino,186
Minnesota,White,105
Mississippi,Black,1107
Mississippi,Latino,211
Mississippi,White,398
Missouri,Black,1297
Missouri,Latino,214
Missouri,White,336
Montana,Black,2272
Montana,Latino,293
Montana,White,371
Nebraska,Black,1733
Nebraska,Latino,395
Nebraska,White,195
Nevada,Black,1543
Nevada,Latino,319
Nevada,White,379
New Hampshire,Black,742
New Hampshire,Latino,241
New Hampshire,White,269
New Mexico,Black,1229
New Mexico,Latino,393
New Mexico,White,216
New York,Black,754
New York,Latino,285
New York,White,96
NewJersey,Black,1009
NewJersey,Latino,162
NewJersey,White,81
North Carolina,Black,810
North Carolina,Latino,194
North Carolina,White,209
North Dakota,Black,848
North Dakota,Latino,407
North Dakota,White,172
Ohio,Black,1530
Ohio,Latino,312
Ohio,White,273
Oklahoma,Black,2395
Oklahoma,Latino,480
Oklahoma,White,511
Oregon,Black,1932
Oregon,Latino,376
Oregon,White,344
Pennsylvania,Black,1523
Pennsylvania,Latino,469
Pennsylvania,White,206
Rhode Island,Black,821
Rhode Island,Latino,239
Rhode Island,White,131
South Carolina,Black,823
South Carolina,Latino,172
South Carolina,White,217
South Dakota,Black,1660
South Dakota,Latino,432
South Dakota,White,280
Tennessee,Black,989
Tennessee,Latino,163
Tennessee,White,296
Texas,Black,1547
Texas,Latino,471
Texas,White,452
Utah,Black,1383
Utah,Latino,299
Utah,White,167
Vermont,Black,1737
Vermont,Latino,NA
Vermont,White,239
Virginia,Black,1246
Virginia,Latino,135
Virginia,White,287
Washington,Black,1195
Washington,Latino,287
Washington,White,222
West Virginia,Black,1337
West Virginia,Latino,155
West Virginia,White,348
Wisconsin,Black,2742
Wisconsin,Latino,475
Wisconsin,White,230
Wyoming,Black,1337
Wyoming,Latino,525
Wyoming,White,381
